Number,Bin,Qmean,Qstd,dQmean,dQstd,n
402204,71,0.2723386131643787,0.004975758344284936,0.024633579725400014,0.009900439320599341,5
402204,72,0.26479024671210516,0.004634009364331508,0.01866180282245454,0.008876282790280481,11
402204,73,0.2648369118854863,0.0075822351374702284,0.033858500528000005,0.015758035443693006,6
402204,74,0.2484899683210137,0.0018627100702194124,0.009376979936666675,0.0038631533372434352,6
402204,75,0.2561187375337322,0.007738879711766766,0.0325406546993333,0.016226925502697512,3
402204,76,0.24808430130235828,0.005544180670799395,0.026002111932375015,0.011360179632489257,8
402204,77,0.23609703156165665,0.0032102080864003773,0.01632101372750001,0.006892005584034565,6
402204,78,0.2315857092573037,0.0031914311333128957,0.014445617740250001,0.005571122404230516,4
402204,79,0.23998357385896982,0.008594008214127868,0.03960295670544444,0.017531536571031518,9
402204,80,0.2219552974304822,0.004139606504124568,0.018956705385166667,0.007540525086512553,6
402204,81,0.2192692713833157,0.0038302271167459925,0.027248996831999998,0.004736440660579459,5
402204,82,0.20690249912002812,0.002991152565156705,0.019058078141333337,0.005983569326740954,3
402204,83,0.211058312800657,0.0033804221572198228,0.029398099260333325,0.007470697567296415,3
402204,84,0.19673882435762052,0.0017300561496151187,0.007349524815333332,0.0031501492199365387,6
402204,85,0.2032019242050921,0.006861950656203063,0.026154171066333342,0.012846852229418747,6
402204,86,0.20578669482576556,0.008424813700916788,0.036088701162000025,0.016901000147382186,3
402204,87,0.21410066877859907,0.013190636887525012,0.05778247096066667,0.025859592003311106,3
402204,88,0.19575032265634165,0.00496742551396639,0.028384371700000008,0.00904606308112847,3
402204,89,0.18104188665962687,0.0018635558238872473,0.006264836324999993,0.0029635541136419467,5
402204,90,0.17009887683594122,0.001781642857787779,0.006441777863181814,0.0030159743866226773,22
402204,91,0.1619127067933826,0.0022752543750281687,0.010583315734199994,0.0050362572881868205,5
402204,92,0.1596627947905667,0.0036906752351936554,0.014232734952399998,0.006806680481576296,5
402204,93,0.16182858148539245,0.006711085895212685,0.027750791974750003,0.013501098254123116,8
402204,94,0.14693945793734597,0.0011537199805080709,0.011556494192166663,0.0013735914930489812,6
402204,95,0.15175466385075675,0.004105948609644486,0.02493769799399999,0.007602956705000007,2
402204,96,0.14770034025577847,0.004539663534901456,0.022099260823666665,0.009118365300366473,6
402204,97,0.13601636747624074,0.0020278005497052476,0.00562618796249999,0.0027664734714923965,4
