Number,a,b,n,r2,Qmin,Qavg,Qmax,S,Smin,Smax
403214,-1.7551965831106027,1.3539488337546073,640,0.94,0.032556521739157934,0.42838941129068314,5.777336131934001,26.82513333740352,-4.198206646996364,22.626926675195293
231213,-1.3856233600497412,1.3659100233785528,312,0.95,0.004740257090387931,0.3611324976450464,9.373936747598517,25.843996255065637,-3.0929779024746322,22.751008222199296
406208,-1.1868960363777041,1.2731534351671139,383,0.97,0.0029544072948357145,0.3776685452604897,10.153969604859336,24.239280120739522,-2.156109466872637,22.08316700767506
405226,-1.989195002743001,1.1273442620697782,579,0.96,9.183622760288275e-4,0.15882867629678693,3.3613411004652414,24.10905714692654,-1.6629232961613774,22.44613325083432
416003,-1.2436605398912213,1.4221628612250126,774,0.91,0.035164262447647095,0.2796473504571212,11.050356444855238,23.187966744992146,-2.0070090455389513,21.18095769289809
410734,-1.5713663391858148,1.4991197734511523,889,0.96,0.01798051054302645,0.1734744731364219,6.383292653836142,23.03427442650449,-2.7122205925384044,20.322053833930646
403221,-1.4890726893426742,1.3221983280487577,722,0.92,0.014410873395420139,0.36528515500766534,6.313818273351621,22.435693371756518,-2.9353503991498098,19.5003429499685
221210,-1.0819934626616685,1.5473863692488203,345,0.98,0.009582783540110896,0.2633208188394656,14.852894468302654,21.31284808612022,-2.768150713960053,18.544697535446815
404207,-1.278886358553105,1.3723576207027257,656,0.98,0.010494088669951104,0.38431879175052264,8.242774137929997,21.183577973907266,-2.813003610620218,18.370574351723803
410061,-1.4654820953254193,1.553424324146538,784,0.93,0.13925613784485352,0.5627126556045534,8.134656548523783,20.702629259529967,-3.479833654803812,17.222795604743684
402204,-1.5262276726283177,1.4989832440399766,640,0.92,0.04250314969228476,0.4042334531076111,6.010299821578656,20.666710688913476,-3.9459516325997157,16.72075905196903
401208,-1.7346640166507987,1.5609360893539077,661,0.97,0.13942765102779311,0.543973368766895,4.911814415777482,20.527036763515238,-4.445086426985381,16.08195033652764
222213,-1.8051443715244015,1.485229329016858,531,0.93,0.03577810430699455,0.3292046567895677,3.319185848139414,19.778821171472867,-4.54025830322231,15.238562868154737
227226,-1.2994319617635108,1.6916702416868112,423,0.97,0.03399675644059276,0.6029517674764199,9.486473293806553,19.607834010225385,-5.9830121174827715,13.624821892742329
405238,-1.4212513652912067,1.332116215837926,474,0.93,0.005020632018800572,0.2862985762638175,5.678297205537154,19.601344285326302,-2.5093602037562883,17.091984404864665
402213,-1.2164664277956476,1.5828006906852734,753,0.96,0.023632332460582654,0.40520990737259815,8.077300206113208,17.644831287614913,-3.8540472544131044,13.790784033198666
406214,-1.2666156812868445,1.1079919470890058,584,0.92,0.0010685290266255862,0.10806608279506863,4.772691750325389,16.030120957398182,-0.5378124212367122,15.492308132193537
226220,-1.9654835823527252,2.1028930185800783,159,0.7,0.2215166994105,0.5302900614542799,1.850400615016913,15.895291887255167,-6.959395666646489,8.935896220553357
406213,-1.2173188271709448,1.4617946120964878,253,0.97,7.991207930275173e-4,0.2368763905852038,5.046273881677528,14.864116281073601,-2.756173348687791,12.10796210370189
405274,-0.8050272503032083,1.4829246542900039,599,0.98,0.004404336664018,0.2728899237965831,10.95647363463264,14.654344790378373,-1.948500387715487,12.705845974088911
238208,-1.578650515170823,1.5746073618133685,648,0.95,0.041045434364362074,0.21902184901417232,1.9998460855413793,12.37538721896809,-3.0436590605021077,9.331728158153634
412066,-1.1475672071930676,1.5491722554166785,464,0.98,0.04769638248358838,0.29225587348034476,4.6981622170463755,12.26513744270072,-2.2409549538073485,10.024182492756866
405251,-1.0452473439666712,1.7501222256182927,552,0.94,0.03402480040765707,0.2544151242288024,4.68708136572369,11.853657663636778,-3.1945066939768734,8.65915096967729
410731,-1.0395387897314483,1.627113222240568,871,0.97,0.012798258405044,0.16345530672636036,4.499441785955137,11.794460517644492,-2.3668614172904445,9.427599101733941
407214,-1.2024507916346832,1.2654662114452684,411,0.96,0.001937197456622724,0.12130195511237368,3.691076427773083,11.778862169667187,-0.9161400963598487,10.862719037786192
223202,-1.4098413751929764,1.5119524423701411,466,0.94,0.015024099203602755,0.14400909197961756,1.8535729782161035,10.258869712428904,-2.17749611134714,8.081373600209295
407215,-0.8804072224732786,1.4572311311472455,318,0.95,0.0017186099557233642,0.16162006515996355,4.287537689522485,9.651972428953952,-1.5121751277618345,8.139798098558476
415207,-1.15210906088043,1.2898583023950847,442,0.95,0.0017611686767464137,0.08214266116192372,2.5569625276024985,8.631304827006204,-0.7061063194266318,7.925199020396851
405245,-0.23614791059428605,1.4128818379476797,707,0.98,0.0013166796151313793,0.20306969560675572,9.703567322055093,8.145967113966812,-0.8020207473948903,7.343943692325813
230210,-0.8213545559659857,1.4393978753533858,305,0.95,0.0024111627906932003,0.1237329242492647,2.5719069767437377,6.749030420328348,-1.118693252327968,5.630337392859138
408202,-0.6366530861845555,1.3897899610583337,474,0.92,0.00432829590047931,0.09282064410680209,3.2341026968355244,6.2278954569332186,-0.6143501202665806,5.613545335011442
405248,-0.5602291477883594,1.2473448999332988,431,0.97,5.430619450088462e-4,0.11714204067380887,3.3043008451902884,5.711893247135073,-0.45508901577891303,5.256801827658748
407230,-0.33551028174822767,1.4914337874581753,390,0.97,8.703296703295e-4,0.16307798373274396,4.281408791206239,5.685527125487582,-1.0171053316760534,4.668422222830665
236213,-0.8171910035568469,1.260742888387038,237,0.95,5.639080972560742e-4,0.07963938237840254,1.807432522863674,4.731815048498094,-0.4596535363088125,4.272160951188461
407253,-0.460174362161701,1.482653009736817,700,0.95,0.001343225335652862,0.0723515968687822,2.019447916280738,4.305275353460544,-0.686985580634946,3.618289769422269
415237,-0.3495628080244516,1.2540846234518361,274,0.96,0.00213700245700112,0.13751050907740475,3.007866339066796,4.304402946034069,-0.41352616412895915,3.8908769086563963
